epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.91423,3.10549,12.1008,0.88625,0.19375,0.25455,0.08907,0.02534,0.53177,24.3114,0.15584,0.000663043,0.000663043,0.000663043
2,16.3658,3.10069,3.74989,0.86649,0.33462,0.45455,0.29866,0.07979,0.50376,32.6503,0.1477,0.00132313,0.00132313,0.00132313
3,23.5816,3.03655,2.08306,0.85154,0.10058,0.3,0.06219,0.01585,0.51839,34.4063,0.15455,0.00197661,0.00197661,0.00197661
4,30.6797,2.96676,1.76854,0.84823,0.40515,0.36364,0.21997,0.06143,0.50487,6.39282,0.15129,0.0019703,0.0019703,0.0019703
5,37.8188,2.84548,1.58995,0.84555,0.64488,0.36364,0.37532,0.13503,0.46371,12.9554,0.14951,0.0019604,0.0019604,0.0019604
6,44.9469,2.7996,1.48334,0.82548,0.55075,0.45455,0.43717,0.16092,0.45582,21.7313,0.16639,0.0019505,0.0019505,0.0019505
7,52.1236,2.69873,1.40895,0.81589,0.7601,0.44545,0.46762,0.16847,0.44148,10.6071,0.15688,0.0019406,0.0019406,0.0019406
8,59.1913,2.68228,1.33921,0.81024,0.72028,0.58526,0.58727,0.2326,0.42776,0.81298,0.14617,0.0019307,0.0019307,0.0019307
9,66.2709,2.63224,1.23329,0.79894,0.67645,0.58922,0.52636,0.17294,0.46664,2.40212,0.15767,0.0019208,0.0019208,0.0019208
10,73.3564,2.64134,1.26863,0.81689,0.56127,0.42727,0.46712,0.18572,0.4013,4.5819,0.1457,0.0019109,0.0019109,0.0019109
11,80.4688,2.6231,1.25392,0.80918,0.70332,0.62727,0.6053,0.2511,0.39391,8.23188,0.14574,0.001901,0.001901,0.001901
12,87.6162,2.61228,1.17508,0.80644,0.46306,0.45455,0.45965,0.14703,0.43476,12.4117,0.15068,0.0018911,0.0018911,0.0018911
13,94.7189,2.53033,1.18881,0.80673,0.86334,0.51688,0.6598,0.24781,0.4105,10.1439,0.14566,0.0018812,0.0018812,0.0018812
14,101.955,2.5384,1.148,0.80258,0.70884,0.60909,0.62517,0.21939,0.4179,4.61405,0.15045,0.0018713,0.0018713,0.0018713
15,109.077,2.49832,1.11756,0.80456,0.86493,0.58182,0.68802,0.24777,0.42856,1.7063,0.14995,0.0018614,0.0018614,0.0018614
16,116.219,2.45334,1.09327,0.79806,0.6031,0.64545,0.63407,0.23002,0.41779,4.46163,0.14375,0.0018515,0.0018515,0.0018515
17,123.296,2.46992,1.09412,0.79389,0.77473,0.66364,0.705,0.3017,0.3886,0.47362,0.14862,0.0018416,0.0018416,0.0018416
18,130.363,2.42882,1.08417,0.79209,0.71955,0.72307,0.75398,0.2852,0.40622,3.14309,0.14316,0.0018317,0.0018317,0.0018317
19,137.307,2.42227,1.07137,0.78597,0.80851,0.62727,0.66391,0.27126,0.39278,0.91285,0.14823,0.0018218,0.0018218,0.0018218
20,144.285,2.46018,1.06676,0.78389,0.69449,0.64064,0.68093,0.29106,0.38736,4.84061,0.15178,0.0018119,0.0018119,0.0018119
21,151.317,2.36001,1.02556,0.79091,0.85864,0.68182,0.71756,0.29718,0.38862,1.31581,0.14486,0.001802,0.001802,0.001802
22,158.265,2.39358,1.03519,0.79163,0.86807,0.71781,0.78782,0.31086,0.39331,0.81053,0.15121,0.0017921,0.0017921,0.0017921
23,165.233,2.37579,0.99813,0.78541,0.84228,0.74545,0.75532,0.32121,0.38448,0.61966,0.14703,0.0017822,0.0017822,0.0017822
24,172.169,2.4057,0.99388,0.78323,0.81021,0.59091,0.66765,0.26811,0.39741,0.96171,0.14637,0.0017723,0.0017723,0.0017723
25,179.129,2.33922,0.98203,0.78828,0.87011,0.73078,0.77704,0.31147,0.39769,1.80982,0.14206,0.0017624,0.0017624,0.0017624
26,186.073,2.32974,0.97564,0.78474,0.87459,0.7,0.73847,0.31888,0.3975,1.178,0.14491,0.0017525,0.0017525,0.0017525
27,193.021,2.30849,0.96236,0.79563,0.82621,0.72727,0.75096,0.30106,0.40089,4.1476,0.14837,0.0017426,0.0017426,0.0017426
28,200.075,2.31563,0.98136,0.7787,0.83739,0.77273,0.73734,0.31611,0.36972,1.74806,0.14701,0.0017327,0.0017327,0.0017327
29,207.04,2.38722,0.97593,0.77756,0.71043,0.66364,0.62305,0.23884,0.40494,5.32286,0.15276,0.0017228,0.0017228,0.0017228
