epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.83228,3.10549,12.1008,0.88625,0.19375,0.25455,0.08907,0.02534,0.53177,24.3114,0.15584,0.000663043,0.000663043,0.000663043
2,16.2306,3.0723,3.73482,0.85946,0.18551,0.23636,0.09716,0.02305,0.54365,56.6673,0.15203,0.00132093,0.00132093,0.00132093
3,23.3658,2.99023,2.05262,0.84569,0.30116,0.24545,0.19609,0.05558,0.54089,1.93777,0.15536,0.00197002,0.00197002,0.00197002
4,30.569,2.92013,1.7236,0.83448,0.28358,0.16364,0.12444,0.04914,0.47489,76.7327,0.15629,0.0019604,0.0019604,0.0019604
5,37.7321,2.81078,1.55986,0.84132,0.60128,0.36364,0.41107,0.15128,0.45584,18.5179,0.1528,0.0019472,0.0019472,0.0019472
6,44.7996,2.77787,1.48081,0.81611,0.64502,0.61121,0.54601,0.19842,0.44302,0.2823,0.14878,0.001934,0.001934,0.001934
7,52.0595,2.65826,1.35692,0.80997,0.73075,0.53636,0.58047,0.17743,0.45122,1.54449,0.1483,0.0019208,0.0019208,0.0019208
8,59.2011,2.68021,1.31834,0.80771,0.69855,0.47273,0.49727,0.18607,0.45948,38.5455,0.14608,0.0019076,0.0019076,0.0019076
9,66.2855,2.63672,1.25861,0.80096,0.43204,0.43636,0.36188,0.1327,0.42207,27.2157,0.14987,0.0018944,0.0018944,0.0018944
10,73.4058,2.62721,1.28174,0.81391,0.75186,0.52727,0.589,0.20747,0.43314,10.6387,0.14664,0.0018812,0.0018812,0.0018812
11,80.5594,2.60116,1.25328,0.81223,0.20135,0.30909,0.13999,0.05972,0.41406,73.9114,0.15021,0.001868,0.001868,0.001868
12,87.7017,2.56944,1.22554,0.81318,0.49566,0.51821,0.43395,0.1617,0.42409,12.4379,0.14641,0.0018548,0.0018548,0.0018548
13,94.9679,2.53681,1.16901,0.80678,0.60453,0.55455,0.52297,0.20317,0.45293,7.78538,0.1497,0.0018416,0.0018416,0.0018416
14,102.03,2.5116,1.14267,0.80146,0.80811,0.68913,0.6995,0.26779,0.40429,0.48387,0.15312,0.0018284,0.0018284,0.0018284
15,109.136,2.45514,1.11783,0.80055,0.76838,0.60319,0.65937,0.2502,0.39257,1.9368,0.1461,0.0018152,0.0018152,0.0018152
16,116.245,2.46047,1.08772,0.79616,0.76045,0.66364,0.72692,0.27346,0.40638,4.29834,0.14408,0.001802,0.001802,0.001802
17,123.358,2.45621,1.09051,0.79481,0.74718,0.61793,0.66538,0.23169,0.41134,3.27545,0.15175,0.0017888,0.0017888,0.0017888
18,130.548,2.39706,1.07864,0.7906,0.49161,0.4,0.44676,0.17591,0.40009,41.0391,0.14348,0.0017756,0.0017756,0.0017756
19,137.595,2.42479,1.06924,0.78699,0.7882,0.69091,0.72548,0.31109,0.37882,3.53635,0.14652,0.0017624,0.0017624,0.0017624
20,144.796,2.38442,1.00137,0.77668,0.81385,0.77273,0.78735,0.32455,0.36602,1.53052,0.14281,0.0017492,0.0017492,0.0017492
21,151.895,2.35376,1.02453,0.78782,0.76525,0.67273,0.70584,0.31783,0.38502,1.18588,0.14244,0.001736,0.001736,0.001736
22,158.975,2.35637,1.01737,0.785,0.68915,0.59091,0.59013,0.23764,0.40089,33.731,0.151,0.0017228,0.0017228,0.0017228
23,166.08,2.35166,0.98817,0.78608,0.5658,0.51818,0.5112,0.23887,0.37966,56.7287,0.14227,0.0017096,0.0017096,0.0017096
24,173.148,2.38031,0.98957,0.78421,0.76843,0.64545,0.67667,0.25964,0.39948,8.36163,0.14818,0.0016964,0.0016964,0.0016964
25,180.217,2.32859,0.98544,0.78661,0.87248,0.61818,0.69436,0.29525,0.40848,15.6068,0.15813,0.0016832,0.0016832,0.0016832
26,187.351,2.34186,0.96054,0.78786,0.61979,0.6076,0.62087,0.27087,0.39509,23.0424,0.14607,0.00167,0.00167,0.00167
27,194.588,2.30316,0.9635,0.79209,0.70339,0.72727,0.69681,0.29775,0.38628,1.1637,0.14753,0.0016568,0.0016568,0.0016568
28,201.689,2.29069,0.95523,0.77617,0.79085,0.60909,0.63596,0.26585,0.38337,23.7256,0.14932,0.0016436,0.0016436,0.0016436
29,208.776,2.36046,0.95461,0.77665,0.75227,0.70909,0.71001,0.30061,0.38697,1.22623,0.14364,0.0016304,0.0016304,0.0016304
30,215.831,2.30636,0.9475,0.78316,0.79881,0.57273,0.62365,0.25536,0.41123,28.9956,0.14889,0.0016172,0.0016172,0.0016172
31,222.996,2.30265,0.96238,0.78978,0.53761,0.67273,0.56622,0.23017,0.4,33.8726,0.14242,0.001604,0.001604,0.001604
