epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.9587,3.03987,12.1756,0.89632,0.40383,0.25455,0.18908,0.05146,0.55433,20.8164,0.16769,0.000663043,0.000663043,0.000663043
2,25.3052,3.1325,3.69022,0.86119,0.39815,0.3308,0.29007,0.08368,0.53382,10.9109,0.15769,0.00132313,0.00132313,0.00132313
3,37.426,3.02477,2.09923,0.84871,0.49932,0.37273,0.28839,0.08093,0.50247,3.1856,0.15225,0.00197661,0.00197661,0.00197661
4,49.4521,2.94352,1.76451,0.84184,0.4752,0.42727,0.3772,0.12067,0.50105,1.06908,0.16665,0.0019703,0.0019703,0.0019703
5,61.5211,2.83063,1.56629,0.83071,0.65109,0.45806,0.46705,0.15529,0.46708,6.01574,0.15113,0.0019604,0.0019604,0.0019604
6,73.5651,2.8245,1.46082,0.81073,0.5165,0.44674,0.4467,0.13707,0.50824,4.61401,0.16497,0.0019505,0.0019505,0.0019505
7,85.6844,2.76988,1.36628,0.80477,0.64134,0.52022,0.49481,0.16422,0.4575,3.89879,0.14599,0.0019406,0.0019406,0.0019406
8,97.7538,2.7079,1.3367,0.8119,0.65913,0.41818,0.48565,0.1944,0.42018,3.44242,0.16219,0.0019307,0.0019307,0.0019307
9,109.71,2.70558,1.3325,0.81476,0.62639,0.6,0.56636,0.18271,0.45027,0.61236,0.1507,0.0019208,0.0019208,0.0019208
10,121.696,2.64347,1.34232,0.82043,0.71965,0.62727,0.65578,0.24805,0.43088,0.35815,0.14754,0.0019109,0.0019109,0.0019109
11,133.792,2.60885,1.26764,0.80802,0.6615,0.66364,0.65647,0.2036,0.44139,2.7792,0.15165,0.001901,0.001901,0.001901
12,145.731,2.60526,1.23657,0.80172,0.60077,0.62727,0.57628,0.20445,0.41785,2.40942,0.14838,0.0018911,0.0018911,0.0018911
13,157.659,2.55229,1.19557,0.80961,0.68518,0.57273,0.58876,0.19145,0.43286,0.39316,0.1507,0.0018812,0.0018812,0.0018812
14,169.76,2.546,1.14896,0.79064,0.77854,0.67116,0.68924,0.27692,0.4122,0.62193,0.14651,0.0018713,0.0018713,0.0018713
15,181.788,2.52195,1.1477,0.80119,0.67419,0.69603,0.65202,0.23319,0.44161,3.66766,0.14888,0.0018614,0.0018614,0.0018614
16,193.768,2.47747,1.13828,0.79757,0.74332,0.59091,0.56222,0.22824,0.43865,0.92584,0.14395,0.0018515,0.0018515,0.0018515
17,205.831,2.49973,1.16428,0.79815,0.69677,0.56403,0.58881,0.2542,0.41001,1.47644,0.14607,0.0018416,0.0018416,0.0018416
18,217.983,2.46686,1.10906,0.79286,0.64477,0.67273,0.65968,0.27253,0.40354,1.63405,0.14216,0.0018317,0.0018317,0.0018317
