epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.4083,2.56055,13.286,0.97262,0.4922,0.49091,0.39735,0.12854,0.3517,36.531,0.15602,0.00066485,0.00066485,0.00066485
2,32.2067,2.54915,4.01812,0.97491,0.62578,0.6,0.53684,0.20213,0.33659,1.53787,0.1526,0.00132493,0.00132493,0.00132493
3,46.7254,2.42987,2.03323,0.9618,0.61986,0.62262,0.61397,0.21562,0.34039,1.06333,0.15476,0.0019784,0.0019784,0.0019784
4,61.1203,2.43452,1.79621,0.93769,0.17434,0.2,0.11753,0.03799,0.38964,14.4969,0.16732,0.0019703,0.0019703,0.0019703
5,75.5044,2.35246,1.53556,0.93589,0.59071,0.49091,0.51219,0.23538,0.30405,27.2797,0.15554,0.0019604,0.0019604,0.0019604
6,90.339,2.29629,1.4556,0.9261,0.53331,0.52727,0.53949,0.20877,0.31534,32.4307,0.15226,0.0019505,0.0019505,0.0019505
7,104.984,2.23207,1.40756,0.9369,0.68911,0.40909,0.42493,0.16804,0.29817,12.4007,0.15525,0.0019406,0.0019406,0.0019406
8,119.474,2.16314,1.34369,0.91733,0.65649,0.51818,0.49159,0.18558,0.31965,15.5662,0.15082,0.0019307,0.0019307,0.0019307
9,133.918,2.19088,1.30106,0.91799,0.44186,0.43636,0.34257,0.15374,0.28312,153.565,0.14049,0.0019208,0.0019208,0.0019208
10,148.295,2.15373,1.23963,0.89968,0.75189,0.74384,0.73109,0.32262,0.28986,0.90068,0.14282,0.0019109,0.0019109,0.0019109
11,162.843,2.15833,1.22573,0.89768,0.72351,0.7,0.6969,0.29209,0.30858,9.39082,0.14647,0.001901,0.001901,0.001901
12,177.286,2.07182,1.15669,0.89626,0.79602,0.75455,0.72517,0.31969,0.29066,1.61469,0.14889,0.0018911,0.0018911,0.0018911
13,191.646,2.12293,1.16086,0.89307,0.83922,0.71179,0.74719,0.31807,0.31763,0.31629,0.15895,0.0018812,0.0018812,0.0018812
14,206.085,2.06124,1.09555,0.89662,0.70025,0.56364,0.56508,0.28506,0.27445,37.1486,0.1488,0.0018713,0.0018713,0.0018713
15,220.494,2.08276,1.13573,0.90495,0.82626,0.73498,0.77461,0.31862,0.28559,7.34871,0.14808,0.0018614,0.0018614,0.0018614
16,234.935,2.00315,1.07346,0.89697,0.85872,0.78182,0.8246,0.34467,0.29113,0.82974,0.14346,0.0018515,0.0018515,0.0018515
17,249.424,2.02623,1.05446,0.88923,0.71447,0.69091,0.70451,0.32501,0.28309,15.1865,0.1522,0.0018416,0.0018416,0.0018416
18,263.841,2.01213,1.02439,0.87025,0.80927,0.7329,0.7835,0.40102,0.25874,6.37101,0.1464,0.0018317,0.0018317,0.0018317
19,278.229,1.99145,1.05778,0.90821,0.60099,0.74545,0.69192,0.33258,0.27467,3.18634,0.14251,0.0018218,0.0018218,0.0018218
20,292.68,1.96785,1.02513,0.87784,0.84201,0.72678,0.74981,0.35296,0.2692,39.6618,0.14128,0.0018119,0.0018119,0.0018119
21,307.091,1.97075,1.03617,0.88088,0.80555,0.75321,0.74608,0.34762,0.2779,3.28793,0.1441,0.001802,0.001802,0.001802
