epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.3165,2.47057,12.9072,0.96414,0.00062,0.7,0.00054,0.00021,0.35968,inf,0.15842,0.00066485,0.00066485,0.00066485
2,48.0414,2.45075,1.84559,0.96215,0.47457,0.51818,0.42047,0.18233,0.31408,1.44919,0.14977,0.00132493,0.00132493,0.00132493
3,70.4976,2.44892,1.65403,0.9603,0.58569,0.5,0.51339,0.20045,0.31776,3.75646,0.14368,0.0019784,0.0019784,0.0019784
4,92.8941,2.35095,1.55806,0.92961,0.19082,0.4,0.15004,0.05527,0.31382,14.1878,0.1432,0.0019703,0.0019703,0.0019703
5,115.314,2.30385,1.43304,0.92905,0.52924,0.5,0.50801,0.18375,0.31043,7.81748,0.15076,0.0019604,0.0019604,0.0019604
6,137.744,2.21777,1.36062,0.91481,0.70325,0.65455,0.69037,0.29559,0.30526,0.33519,0.1531,0.0019505,0.0019505,0.0019505
7,160.151,2.18883,1.34865,0.92619,0.74014,0.69913,0.71362,0.3266,0.29494,0.55438,0.15131,0.0019406,0.0019406,0.0019406
8,182.63,2.1411,1.29492,0.91162,0.61846,0.48632,0.51313,0.22985,0.30426,24.3964,0.14778,0.0019307,0.0019307,0.0019307
9,205.029,2.10312,1.21922,0.90653,0.63994,0.61818,0.62088,0.28919,0.29684,0.72205,0.14987,0.0019208,0.0019208,0.0019208
10,227.457,2.10612,1.22591,0.89215,0.62958,0.72727,0.69264,0.30858,0.2899,2.03806,0.14559,0.0019109,0.0019109,0.0019109
11,249.973,2.07049,1.15439,0.88303,0.6694,0.66267,0.68648,0.30389,0.3108,1.67455,0.14943,0.001901,0.001901,0.001901
12,272.41,2.00117,1.13792,0.89162,0.77103,0.64287,0.70342,0.34078,0.28659,4.41595,0.14764,0.0018911,0.0018911,0.0018911
13,294.859,2.03639,1.09366,0.88679,0.5133,0.57273,0.58086,0.24053,0.32579,3.71586,0.1509,0.0018812,0.0018812,0.0018812
14,317.252,2.02543,1.11309,0.89239,0.80797,0.6885,0.73875,0.3653,0.27815,1.1059,0.14381,0.0018713,0.0018713,0.0018713
15,339.612,2.01926,1.14538,0.88809,0.78613,0.66833,0.73057,0.32849,0.28562,0.2547,0.14376,0.0018614,0.0018614,0.0018614
16,362.009,1.98863,1.07589,0.89708,0.83396,0.66364,0.77877,0.38427,0.26883,1.1676,0.14037,0.0018515,0.0018515,0.0018515
17,384.507,1.98432,1.0489,0.88101,0.75695,0.67273,0.7326,0.32599,0.28012,1.50834,0.14252,0.0018416,0.0018416,0.0018416
