epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.187,3.06016,11.8825,0.89782,0.43312,0.22231,0.18614,0.05102,0.77293,89.5786,0.19794,0.00065942,0.00065942,0.00065942
2,19.4517,3.07892,4.26397,0.85023,0.00016,0.00909,1e-05,0,1.15159,160.017,1.22312,0.00131952,0.00131952,0.00131952
3,27.7642,2.93479,2.28744,0.85179,0.00046,0.28182,0.00028,0.0001,0.66816,inf,0.198,0.00197303,0.00197303,0.00197303
4,35.7333,2.90216,1.756,0.83938,0.5273,0.45455,0.43192,0.12606,0.65842,4.40305,0.19206,0.0019703,0.0019703,0.0019703
5,44.0998,2.78907,1.53203,0.82465,0.50083,0.38311,0.37623,0.13508,0.62685,217.207,0.18905,0.0019604,0.0019604,0.0019604
6,52.2012,2.80179,1.45787,0.82757,0.46381,0.41678,0.35714,0.11125,0.63463,55.9817,0.1952,0.0019505,0.0019505,0.0019505
7,60.1935,2.74465,1.37981,0.815,0.51481,0.46364,0.41455,0.14651,0.6706,1.16936,0.20306,0.0019406,0.0019406,0.0019406
8,68.3047,2.69666,1.3564,0.81528,0.59492,0.52073,0.46581,0.14691,0.61923,3.40077,0.31076,0.0019307,0.0019307,0.0019307
9,76.2378,2.6493,1.30975,0.80044,0.63316,0.46364,0.50807,0.15975,0.59876,3.67024,0.18885,0.0019208,0.0019208,0.0019208
10,83.6484,2.62124,1.2206,0.81643,0.50195,0.53636,0.46581,0.16985,0.59797,11.3016,0.18523,0.0019109,0.0019109,0.0019109
11,90.721,2.57495,1.16967,0.80486,0.75142,0.54964,0.63076,0.23965,0.53898,4.34143,0.32644,0.001901,0.001901,0.001901
12,97.8503,2.54448,1.21584,0.80781,0.67261,0.51818,0.54839,0.19918,0.55502,42.802,0.17914,0.0018911,0.0018911,0.0018911
13,104.959,2.56121,1.11778,0.78674,0.0272,0.55455,0.02211,0.00783,0.56978,877.706,0.178,0.0018812,0.0018812,0.0018812
14,112.347,2.49837,1.13918,0.79977,0.80792,0.65455,0.70278,0.2913,0.54341,0.33915,0.17966,0.0018713,0.0018713,0.0018713
15,120.263,2.52404,1.12711,0.79613,0.70689,0.63582,0.6221,0.27276,0.53637,0.35395,0.18459,0.0018614,0.0018614,0.0018614
16,128.154,2.47767,1.10315,0.80098,0.53499,0.44977,0.43765,0.18758,0.55812,23.8311,0.18291,0.0018515,0.0018515,0.0018515
17,135.953,2.43462,1.09696,0.79599,0.67022,0.68182,0.68158,0.27781,0.52068,10.4035,0.17266,0.0018416,0.0018416,0.0018416
18,143.811,2.42418,1.08629,0.79924,0.63383,0.63636,0.60623,0.22933,0.55517,10.3352,0.1763,0.0018317,0.0018317,0.0018317
19,151.647,2.42293,1.08647,0.8161,0.83743,0.69091,0.7493,0.29583,0.54191,1.81704,0.18302,0.0018218,0.0018218,0.0018218
20,159.541,2.42354,1.04086,0.79294,0.75923,0.65936,0.71449,0.30548,0.49589,2.78968,0.17641,0.0018119,0.0018119,0.0018119
21,167.371,2.37298,1.03691,0.7921,0.58004,0.63636,0.52683,0.21453,0.5186,6.61073,0.17596,0.001802,0.001802,0.001802
22,175.193,2.34456,1.00836,0.78921,0.75593,0.61943,0.63538,0.23674,0.56476,42.3117,0.18393,0.0017921,0.0017921,0.0017921
23,182.965,2.34579,1.00907,0.79839,0.80697,0.66364,0.73955,0.3221,0.49897,0.56042,0.18006,0.0017822,0.0017822,0.0017822
24,190.885,2.38935,0.9996,0.78314,0.7871,0.73942,0.77143,0.33137,0.51388,2.8132,0.17812,0.0017723,0.0017723,0.0017723
25,198.838,2.33761,0.97421,0.78923,0.72852,0.70749,0.71505,0.29698,0.50796,3.76816,0.17243,0.0017624,0.0017624,0.0017624
26,206.635,2.29698,0.96109,0.78982,0.70243,0.66525,0.68072,0.29478,0.52278,3.07764,0.17418,0.0017525,0.0017525,0.0017525
27,214.466,2.32231,0.97247,0.7964,0.65585,0.76364,0.67865,0.29821,0.48591,5.19636,0.1797,0.0017426,0.0017426,0.0017426
28,222.298,2.28128,0.93387,0.79513,0.82745,0.76364,0.79998,0.32109,0.51993,0.78055,0.17722,0.0017327,0.0017327,0.0017327
29,229.955,2.28281,0.91344,0.77959,0.82667,0.79091,0.79356,0.34821,0.50642,0.28428,0.1801,0.0017228,0.0017228,0.0017228
30,237.818,2.29141,0.91804,0.78697,0.90931,0.72727,0.80346,0.33418,0.52581,0.4484,0.17902,0.0017129,0.0017129,0.0017129
