epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.7701,2.49007,13.0448,0.9619,0.47163,0.50909,0.40627,0.1608,0.42873,43.7551,0.18037,0.000663043,0.000663043,0.000663043
2,35.1868,2.46297,4.32636,0.94539,0.52359,0.43636,0.39737,0.13174,0.46253,2.70815,0.18755,0.00131655,0.00131655,0.00131655
3,51.1797,2.46791,2.22178,0.95366,0.72968,0.61818,0.64181,0.21947,0.39566,1.81455,0.1795,0.00195685,0.00195685,0.00195685
4,67.6471,2.35865,1.64516,0.94809,0.62952,0.5,0.53441,0.23154,0.37234,5.67583,0.16998,0.0019406,0.0019406,0.0019406
5,84.4114,2.24832,1.47351,0.91123,0.63002,0.55731,0.50223,0.21652,0.37387,4.06183,0.16447,0.0019208,0.0019208,0.0019208
6,100.686,2.27495,1.43509,0.93218,0.59275,0.55575,0.55102,0.17805,0.39568,4.04187,0.16356,0.001901,0.001901,0.001901
7,116.865,2.20153,1.29135,0.91646,0.76099,0.66364,0.69925,0.2899,0.35174,3.49288,0.17058,0.0018812,0.0018812,0.0018812
8,133.16,2.1372,1.27481,0.90697,0.70638,0.68182,0.64448,0.24845,0.38462,1.902,0.17014,0.0018614,0.0018614,0.0018614
9,149.256,2.16636,1.19024,0.91475,0.68165,0.70909,0.70867,0.27867,0.34941,3.30685,0.16308,0.0018416,0.0018416,0.0018416
10,165.478,2.09105,1.19363,0.91654,0.74591,0.66364,0.71003,0.31122,0.33373,2.39289,0.16099,0.0018218,0.0018218,0.0018218
11,181.537,2.04263,1.1388,0.89294,0.82091,0.76364,0.80242,0.36404,0.3289,1.20316,0.1593,0.001802,0.001802,0.001802
12,196.236,2.03473,1.11072,0.89046,0.8689,0.78331,0.818,0.37629,0.32527,1.00146,0.15884,0.0017822,0.0017822,0.0017822
13,211.258,2.04978,1.07552,0.88169,0.84718,0.75597,0.84341,0.36584,0.32593,0.61148,0.15802,0.0017624,0.0017624,0.0017624
14,227.563,1.95247,1.05874,0.88596,0.83336,0.78182,0.82922,0.3667,0.33091,0.67083,0.16222,0.0017426,0.0017426,0.0017426
15,243.982,2.01322,1.05806,0.88686,0.70382,0.6913,0.71989,0.3044,0.3314,9.35666,0.15989,0.0017228,0.0017228,0.0017228
16,260.366,1.98686,1.04421,0.89271,0.79283,0.76542,0.80161,0.38073,0.31996,0.61298,0.16331,0.001703,0.001703,0.001703
17,276.923,1.98615,1.02409,0.88336,0.77947,0.70694,0.76581,0.36647,0.33782,4.97803,0.16291,0.0016832,0.0016832,0.0016832
