epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.2692,2.5871,16.0385,0.92041,0.48972,0.5,0.42473,0.13717,0.47188,1.34797,0.17646,0.000663043,0.000663043,0.000663043
2,36.9767,2.62676,1.77257,0.91753,0.47967,0.44545,0.43058,0.15061,0.42093,53.382,0.16113,0.00131655,0.00131655,0.00131655
3,54.3451,2.53327,1.56191,0.90329,0.5352,0.58182,0.53003,0.21626,0.40327,8.07143,0.15324,0.00195685,0.00195685,0.00195685
4,71.6754,2.49721,1.4499,0.89375,0.6308,0.50909,0.59706,0.20689,0.39722,6.91224,0.15064,0.0019406,0.0019406,0.0019406
5,89.1083,2.38691,1.45864,0.89497,0.62881,0.55455,0.55986,0.23636,0.3903,7.26854,0.15446,0.0019208,0.0019208,0.0019208
6,106.543,2.36395,1.3475,0.8852,0.6101,0.62591,0.58783,0.25584,0.36931,2.05576,0.14942,0.001901,0.001901,0.001901
7,123.93,2.24736,1.2579,0.86988,0.70163,0.66272,0.65858,0.28451,0.37311,0.67473,0.14933,0.0018812,0.0018812,0.0018812
8,141.337,2.28218,1.225,0.86584,0.6648,0.53636,0.55854,0.26098,0.36851,0.81022,0.15593,0.0018614,0.0018614,0.0018614
9,158.759,2.24881,1.15384,0.85867,0.74614,0.67273,0.72564,0.34149,0.35978,0.75338,0.1535,0.0018416,0.0018416,0.0018416
10,176.174,2.22298,1.14246,0.86764,0.78976,0.66364,0.71625,0.33553,0.351,1.90238,0.15059,0.0018218,0.0018218,0.0018218
11,193.596,2.18408,1.12918,0.86037,0.50196,0.6,0.50122,0.22848,0.37342,7.86666,0.15374,0.001802,0.001802,0.001802
12,211.085,2.13845,1.08585,0.86687,0.5829,0.59091,0.55451,0.23789,0.36677,1.85375,0.15558,0.0017822,0.0017822,0.0017822
13,228.569,2.12838,1.06466,0.87031,0.76843,0.75455,0.78513,0.36833,0.34303,0.52066,0.15423,0.0017624,0.0017624,0.0017624
14,246.063,2.07493,1.01583,0.8475,0.75581,0.78789,0.80202,0.35161,0.35194,1.4718,0.15155,0.0017426,0.0017426,0.0017426
15,263.569,2.05328,1.03682,0.84987,0.58944,0.73093,0.5341,0.25644,0.35831,3.26853,0.15456,0.0017228,0.0017228,0.0017228
16,281.05,2.03492,0.96665,0.8482,0.62301,0.64603,0.60308,0.25489,0.38882,2.17384,0.15564,0.001703,0.001703,0.001703
17,298.481,2.05796,1.00738,0.85472,0.77579,0.69201,0.72107,0.3209,0.36347,0.68585,0.15462,0.0016832,0.0016832,0.0016832
18,315.797,2.00416,0.9928,0.84419,0.78222,0.75455,0.80022,0.37964,0.35241,0.36405,0.15085,0.0016634,0.0016634,0.0016634
19,333.184,2.01028,0.92927,0.83298,0.55355,0.69091,0.56068,0.25594,0.34691,5.33109,0.15436,0.0016436,0.0016436,0.0016436
20,350.512,1.98121,0.90074,0.8264,0.73826,0.64545,0.7238,0.34648,0.34016,2.21973,0.14833,0.0016238,0.0016238,0.0016238
21,367.842,1.92681,0.91522,0.83273,0.79107,0.81818,0.81226,0.41657,0.31712,1.89919,0.15201,0.001604,0.001604,0.001604
22,385.132,1.97372,0.92098,0.83829,0.78213,0.76364,0.79492,0.40422,0.33193,0.81494,0.15439,0.0015842,0.0015842,0.0015842
23,402.438,1.94176,0.89722,0.8348,0.60043,0.79091,0.71871,0.35199,0.33407,2.47305,0.15243,0.0015644,0.0015644,0.0015644
24,419.766,1.98549,0.89826,0.82446,0.55629,0.74545,0.62427,0.30982,0.3389,4.38779,0.15506,0.0015446,0.0015446,0.0015446
25,437.091,1.92961,0.88429,0.83549,0.80673,0.79691,0.82734,0.41759,0.33062,1.61864,0.15205,0.0015248,0.0015248,0.0015248
26,454.386,1.91758,0.88151,0.82556,0.7106,0.81818,0.79409,0.36813,0.34511,0.90691,0.15305,0.001505,0.001505,0.001505
27,471.663,1.89974,0.86891,0.83457,0.82287,0.80909,0.82477,0.41677,0.31968,0.36062,0.15371,0.0014852,0.0014852,0.0014852
28,488.982,1.90016,0.85733,0.8236,0.57193,0.82592,0.62666,0.31508,0.3155,3.35555,0.14814,0.0014654,0.0014654,0.0014654
29,506.253,1.9569,0.86822,0.82477,0.64716,0.79091,0.61756,0.31693,0.32281,2.22155,0.15169,0.0014456,0.0014456,0.0014456
30,523.498,1.87867,0.84216,0.82932,0.72355,0.8,0.78878,0.39335,0.31985,1.24233,0.14722,0.0014258,0.0014258,0.0014258
31,540.779,1.89625,0.85971,0.82322,0.67133,0.85416,0.78907,0.39672,0.32615,1.63965,0.15112,0.001406,0.001406,0.001406
32,558.011,1.84756,0.81331,0.82767,0.66744,0.83636,0.69425,0.34408,0.3373,1.96825,0.15275,0.0013862,0.0013862,0.0013862
33,575.231,1.88261,0.79899,0.82842,0.68025,0.83166,0.69409,0.35992,0.32357,1.84413,0.15274,0.0013664,0.0013664,0.0013664
34,592.481,1.83236,0.80666,0.82628,0.7709,0.74545,0.79081,0.37676,0.32967,0.87286,0.15004,0.0013466,0.0013466,0.0013466
35,609.712,1.83843,0.79557,0.82113,0.77983,0.87273,0.85431,0.41071,0.3305,0.88844,0.15241,0.0013268,0.0013268,0.0013268
36,627.001,1.81284,0.78668,0.84087,0.71055,0.81818,0.76575,0.37663,0.33159,1.99859,0.15125,0.001307,0.001307,0.001307
37,644.268,1.83605,0.79193,0.82593,0.72367,0.83636,0.81138,0.4173,0.31122,1.65569,0.15032,0.0012872,0.0012872,0.0012872
38,661.535,1.79124,0.78949,0.80958,0.68773,0.85455,0.77637,0.40132,0.31408,2.71536,0.149,0.0012674,0.0012674,0.0012674
39,678.765,1.81396,0.78704,0.81851,0.71967,0.83636,0.84004,0.42639,0.31757,1.72137,0.1524,0.0012476,0.0012476,0.0012476
40,696.05,1.81636,0.76553,0.80515,0.73681,0.81818,0.80509,0.42597,0.31384,1.91043,0.15474,0.0012278,0.0012278,0.0012278
41,713.309,1.78527,0.75725,0.81903,0.7326,0.82193,0.84873,0.43288,0.30382,2.4362,0.14717,0.001208,0.001208,0.001208
42,730.529,1.81294,0.76508,0.82811,0.90271,0.85455,0.90526,0.47913,0.30615,0.6775,0.14841,0.0011882,0.0011882,0.0011882
43,747.757,1.766,0.76564,0.81929,0.94937,0.8523,0.9135,0.48968,0.30295,0.1618,0.14711,0.0011684,0.0011684,0.0011684
44,764.986,1.7268,0.71713,0.81127,0.79132,0.87273,0.88651,0.47133,0.30167,1.01632,0.146,0.0011486,0.0011486,0.0011486
45,782.255,1.75002,0.71686,0.80743,0.70737,0.86364,0.81709,0.42937,0.29933,1.81894,0.14622,0.0011288,0.0011288,0.0011288
46,799.58,1.75513,0.72718,0.81841,0.869,0.84427,0.88291,0.44264,0.31801,0.37958,0.14869,0.001109,0.001109,0.001109
47,816.918,1.77581,0.7228,0.82085,0.90065,0.87273,0.92034,0.49452,0.29613,0.75827,0.14637,0.0010892,0.0010892,0.0010892
48,834.288,1.72519,0.71144,0.82234,0.72791,0.86364,0.86449,0.47339,0.29808,1.6042,0.14703,0.0010694,0.0010694,0.0010694
49,851.664,1.6672,0.71266,0.80444,0.64992,0.86074,0.6558,0.3407,0.30661,3.23104,0.14603,0.0010496,0.0010496,0.0010496
