epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.66894,3.10549,12.1008,0.88625,0.19375,0.25455,0.08907,0.02534,0.53177,24.3114,0.15584,0.000663043,0.000663043,0.000663043
2,15.9375,3.06102,3.72665,0.86461,0.06654,0.11818,0.02748,0.0055,0.54899,65.3608,0.1675,0.00131655,0.00131655,0.00131655
3,22.9566,2.99348,2.10767,0.85127,0.30661,0.32964,0.19131,0.05053,0.48793,26.9054,0.15697,0.00195685,0.00195685,0.00195685
4,29.8959,2.95356,1.74246,0.83436,0.54464,0.53636,0.44789,0.13162,0.48436,5.81835,0.15602,0.0019406,0.0019406,0.0019406
5,36.8567,2.84288,1.60177,0.84892,0.54158,0.36364,0.36233,0.12603,0.46688,45.0721,0.14479,0.0019208,0.0019208,0.0019208
6,43.8883,2.7971,1.51161,0.82746,0.66771,0.40909,0.44662,0.1399,0.47665,4.7351,0.14994,0.001901,0.001901,0.001901
7,50.7981,2.66725,1.38637,0.80829,0.62725,0.52727,0.49193,0.13937,0.47869,9.159,0.14945,0.0018812,0.0018812,0.0018812
8,57.7035,2.70305,1.33123,0.80759,0.7139,0.43636,0.50298,0.18981,0.4502,10.3385,0.14778,0.0018614,0.0018614,0.0018614
9,64.6194,2.60201,1.25311,0.80149,0.66691,0.56426,0.56595,0.20476,0.43825,5.97343,0.15038,0.0018416,0.0018416,0.0018416
10,71.5326,2.61733,1.26973,0.81636,0.63906,0.59091,0.5725,0.21131,0.44695,8.71366,0.1431,0.0018218,0.0018218,0.0018218
11,78.4149,2.60679,1.25022,0.8028,0.76345,0.62727,0.62199,0.24334,0.40626,2.68637,0.1469,0.001802,0.001802,0.001802
12,85.4599,2.59451,1.20485,0.80761,0.42391,0.49091,0.4013,0.14329,0.46645,8.21563,0.15604,0.0017822,0.0017822,0.0017822
13,92.6251,2.57453,1.21497,0.81753,0.6879,0.70131,0.67951,0.2554,0.41658,10.6754,0.1431,0.0017624,0.0017624,0.0017624
14,99.929,2.49075,1.13682,0.79546,0.59116,0.64545,0.56988,0.2179,0.41099,4.1385,0.14635,0.0017426,0.0017426,0.0017426
15,107.139,2.44097,1.11894,0.79508,0.80623,0.68086,0.71042,0.26785,0.40139,1.90306,0.14654,0.0017228,0.0017228,0.0017228
16,114.304,2.43197,1.08009,0.79822,0.71151,0.60909,0.60328,0.2258,0.42786,10.5973,0.14303,0.001703,0.001703,0.001703
17,121.199,2.44133,1.0855,0.79591,0.88712,0.66364,0.70084,0.2718,0.39492,16.4806,0.14607,0.0016832,0.0016832,0.0016832
18,128.135,2.4014,1.05485,0.78831,0.72087,0.75455,0.74249,0.29475,0.37969,2.17218,0.1431,0.0016634,0.0016634,0.0016634
19,135.073,2.37112,1.05655,0.78792,0.79432,0.70909,0.73737,0.29798,0.37451,5.06328,0.13952,0.0016436,0.0016436,0.0016436
20,142.121,2.37004,1.00462,0.77361,0.83174,0.7,0.71399,0.29251,0.39786,0.7613,0.14712,0.0016238,0.0016238,0.0016238
