epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.7385,2.56055,13.286,0.97262,0.4922,0.49091,0.39735,0.12854,0.3517,36.531,0.15602,0.00066485,0.00066485,0.00066485
2,40.8384,2.50944,4.02271,0.97287,0.56367,0.49091,0.42245,0.15735,0.33628,5.51474,0.14865,0.00131833,0.00131833,0.00131833
3,59.3517,2.45747,2.07247,0.95922,0.69923,0.47273,0.5314,0.1767,0.34798,5.9931,0.15733,0.00195862,0.00195862,0.00195862
4,77.6265,2.37628,1.70208,0.93347,0.64479,0.38182,0.38263,0.16166,0.3199,17.8325,0.15008,0.0019406,0.0019406,0.0019406
5,96.0998,2.33535,1.47099,0.93123,0.1178,0.23636,0.07339,0.03344,0.29323,181.368,0.15235,0.0019208,0.0019208,0.0019208
6,112.992,2.2387,1.43251,0.92713,0.72478,0.71818,0.71251,0.28321,0.31363,2.79019,0.14633,0.001901,0.001901,0.001901
7,129.691,2.26006,1.40116,0.93699,0.7613,0.70909,0.7267,0.3133,0.28814,0.96494,0.14824,0.0018812,0.0018812,0.0018812
8,148.1,2.19397,1.32175,0.91915,0.54845,0.48587,0.43723,0.20127,0.29853,60.7903,0.14992,0.0018614,0.0018614,0.0018614
9,166.932,2.14551,1.26075,0.91356,0.52637,0.40909,0.43351,0.22613,0.27661,57.0025,0.14549,0.0018416,0.0018416,0.0018416
10,185.748,2.11811,1.22707,0.89297,0.73329,0.63636,0.6808,0.2868,0.2941,1.78691,0.14166,0.0018218,0.0018218,0.0018218
11,204.378,2.09748,1.19212,0.89062,0.73047,0.69091,0.71868,0.31383,0.29869,1.38252,0.1486,0.001802,0.001802,0.001802
12,223.112,2.03648,1.1725,0.88912,0.67981,0.72727,0.70358,0.31806,0.29141,0.87655,0.15202,0.0017822,0.0017822,0.0017822
13,241.967,2.10014,1.1289,0.88978,0.80727,0.70909,0.73694,0.34386,0.29102,0.70529,0.14588,0.0017624,0.0017624,0.0017624
14,260.443,2.048,1.12802,0.89232,0.63361,0.50909,0.52113,0.25849,0.27319,78.2452,0.146,0.0017426,0.0017426,0.0017426
15,277.371,2.05078,1.13146,0.89749,0.72754,0.68182,0.73549,0.33911,0.26562,39.4999,0.1415,0.0017228,0.0017228,0.0017228
16,294.636,2.01629,1.09312,0.90294,0.78003,0.58027,0.65015,0.31542,0.27661,40.0169,0.14481,0.001703,0.001703,0.001703
17,313.402,2.0129,1.08197,0.88721,0.82179,0.72727,0.76687,0.35261,0.27745,3.55571,0.156,0.0016832,0.0016832,0.0016832
18,332.12,1.97422,0.99634,0.86694,0.84865,0.7,0.77918,0.40275,0.25771,2.23609,0.14624,0.0016634,0.0016634,0.0016634
19,350.731,1.99141,1.05689,0.9004,0.76691,0.72727,0.75267,0.36779,0.26072,3.31533,0.14178,0.0016436,0.0016436,0.0016436
20,369.391,1.96206,1.01126,0.87365,0.85676,0.70693,0.76543,0.36304,0.25504,16.8816,0.13674,0.0016238,0.0016238,0.0016238
21,388.208,1.96984,1.01467,0.8793,0.79233,0.79091,0.80884,0.37252,0.26451,11.2822,0.14414,0.001604,0.001604,0.001604
22,406.872,1.93493,0.97038,0.87148,0.79972,0.76233,0.78012,0.38489,0.26392,1.02293,0.13882,0.0015842,0.0015842,0.0015842
23,425.2,1.91997,0.98395,0.88794,0.93844,0.73636,0.78207,0.39727,0.25355,6.06652,0.13796,0.0015644,0.0015644,0.0015644
24,442.069,1.91196,0.97058,0.87759,0.77224,0.85455,0.83183,0.39756,0.26098,5.46102,0.13795,0.0015446,0.0015446,0.0015446
25,459.703,1.93266,0.96144,0.88337,0.84947,0.51303,0.57907,0.29199,0.25489,122.316,0.13668,0.0015248,0.0015248,0.0015248
26,478.446,1.88523,0.95102,0.87327,0.8637,0.81818,0.84631,0.42214,0.25195,4.45794,0.13804,0.001505,0.001505,0.001505
27,497.378,1.87648,0.93223,0.88195,0.32612,0.42727,0.32021,0.17803,0.25734,161.787,0.13926,0.0014852,0.0014852,0.0014852
28,515.995,1.86587,0.92969,0.88055,0.9226,0.8,0.83779,0.39826,0.25869,4.56451,0.14167,0.0014654,0.0014654,0.0014654
29,534.811,1.83111,0.91533,0.86113,0.73477,0.74545,0.78451,0.40269,0.24855,3.0067,0.13563,0.0014456,0.0014456,0.0014456
30,553.458,1.86065,0.9165,0.85623,0.81894,0.78125,0.82565,0.42364,0.24948,19.7101,0.13602,0.0014258,0.0014258,0.0014258
31,572.246,1.84285,0.88308,0.86973,0.73898,0.82727,0.81327,0.41171,0.24253,3.84449,0.14397,0.001406,0.001406,0.001406
32,589.947,1.88059,0.90391,0.85155,0.72134,0.60909,0.68162,0.33033,0.24958,21.0144,0.13897,0.0013862,0.0013862,0.0013862
33,606.682,1.8324,0.86431,0.86046,0.89494,0.85186,0.89879,0.42463,0.25245,1.78842,0.13948,0.0013664,0.0013664,0.0013664
34,624.773,1.81172,0.87508,0.85447,0.81739,0.77314,0.81025,0.40605,0.2495,20.0509,0.1361,0.0013466,0.0013466,0.0013466
35,643.409,1.81166,0.88741,0.86569,0.79788,0.78182,0.8108,0.40647,0.25105,10.4407,0.13876,0.0013268,0.0013268,0.0013268
36,662.003,1.8104,0.85086,0.85229,0.82793,0.9,0.89708,0.46907,0.24019,1.05029,0.136,0.001307,0.001307,0.001307
37,680.766,1.83599,0.8622,0.8655,0.54526,0.56686,0.47885,0.23538,0.25016,118.027,0.13784,0.0012872,0.0012872,0.0012872
