epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.4181,3.10809,12.4653,0.87896,0.01265,0.06364,0.00169,0.00055,0.6175,226.563,0.18408,0.000663043,0.000663043,0.000663043
2,19.0057,3.09445,4.0619,0.86335,0.42738,0.44105,0.28441,0.06438,0.54577,6.15381,0.16623,0.00132093,0.00132093,0.00132093
3,27.4374,3.07026,2.18659,0.85378,0.5258,0.40909,0.38835,0.11675,0.51113,11.9781,0.15515,0.00197002,0.00197002,0.00197002
4,35.5887,2.93769,1.75621,0.83577,0.56535,0.49666,0.4267,0.13291,0.50413,1.98939,0.15795,0.0019604,0.0019604,0.0019604
5,43.7717,2.85004,1.61235,0.83896,0.63576,0.40909,0.45211,0.15925,0.46128,9.52707,0.16594,0.0019472,0.0019472,0.0019472
6,51.9422,2.80062,1.49836,0.82481,0.47678,0.47273,0.4211,0.14967,0.47437,11.7095,0.14826,0.001934,0.001934,0.001934
7,60.2042,2.70254,1.40781,0.81181,0.51869,0.42727,0.41327,0.14821,0.45414,18.6422,0.15314,0.0019208,0.0019208,0.0019208
8,68.3508,2.73883,1.34441,0.81355,0.44861,0.4,0.36819,0.13481,0.49712,6.07091,0.15218,0.0019076,0.0019076,0.0019076
9,76.4828,2.66303,1.2865,0.80706,0.59359,0.54545,0.49043,0.16825,0.47551,3.95932,0.15499,0.0018944,0.0018944,0.0018944
10,84.5982,2.65098,1.31729,0.8153,0.51898,0.53636,0.46854,0.18089,0.43472,2.78711,0.14568,0.0018812,0.0018812,0.0018812
11,92.8543,2.61221,1.25067,0.80961,0.61346,0.6,0.55435,0.22883,0.41401,2.83067,0.14591,0.001868,0.001868,0.001868
12,101.013,2.63426,1.20848,0.81159,0.72709,0.58182,0.60457,0.21407,0.4223,2.95825,0.15079,0.0018548,0.0018548,0.0018548
13,109.348,2.58479,1.23178,0.80787,0.71186,0.60641,0.59444,0.22771,0.45591,0.60385,0.14968,0.0018416,0.0018416,0.0018416
14,117.553,2.52064,1.14813,0.79976,0.79468,0.66364,0.70353,0.27297,0.42027,0.64694,0.14715,0.0018284,0.0018284,0.0018284
15,125.937,2.48614,1.11962,0.8053,0.78836,0.61818,0.62909,0.25756,0.41354,0.99099,0.14661,0.0018152,0.0018152,0.0018152
16,134.224,2.50546,1.12764,0.79881,0.57638,0.65455,0.58128,0.22029,0.4054,7.27941,0.1501,0.001802,0.001802,0.001802
17,142.469,2.47339,1.11079,0.79549,0.83292,0.63451,0.66107,0.24874,0.41653,1.39681,0.14818,0.0017888,0.0017888,0.0017888
18,150.7,2.4537,1.11534,0.79545,0.77448,0.65455,0.68005,0.26975,0.40255,0.55681,0.14735,0.0017756,0.0017756,0.0017756
19,159.047,2.45852,1.09629,0.78808,0.71092,0.67273,0.65551,0.2405,0.41479,0.94883,0.14531,0.0017624,0.0017624,0.0017624
20,167.145,2.43272,1.0315,0.78261,0.81631,0.63636,0.70096,0.28353,0.40958,1.2729,0.15046,0.0017492,0.0017492,0.0017492
21,175.316,2.3786,1.06383,0.78967,0.59342,0.74545,0.61015,0.25441,0.41051,2.77123,0.14668,0.001736,0.001736,0.001736
22,183.653,2.40498,1.04324,0.7884,0.79903,0.72289,0.72687,0.29486,0.39914,0.41025,0.14506,0.0017228,0.0017228,0.0017228
23,191.851,2.39776,1.00438,0.78809,0.75485,0.68182,0.69415,0.29068,0.39393,0.54656,0.14679,0.0017096,0.0017096,0.0017096
24,200.089,2.40912,0.98509,0.78425,0.72184,0.66364,0.65066,0.24747,0.40937,1.54379,0.14427,0.0016964,0.0016964,0.0016964
25,208.11,2.35587,1.00772,0.78252,0.88989,0.69091,0.76453,0.30663,0.39871,0.34373,0.14421,0.0016832,0.0016832,0.0016832
26,216.354,2.3507,0.99855,0.78923,0.83589,0.7,0.74413,0.29248,0.40188,0.89843,0.14777,0.00167,0.00167,0.00167
27,224.377,2.32953,0.98632,0.79322,0.90619,0.70909,0.77602,0.33319,0.37947,0.50456,0.15099,0.0016568,0.0016568,0.0016568
28,232.594,2.31677,0.98172,0.78434,0.79948,0.69091,0.69975,0.2773,0.39435,2.64689,0.1473,0.0016436,0.0016436,0.0016436
29,240.758,2.40414,1.00186,0.77722,0.84283,0.68251,0.74276,0.30805,0.38819,0.21588,0.14211,0.0016304,0.0016304,0.0016304
30,249.086,2.32718,0.98465,0.78288,0.85949,0.72727,0.75622,0.33995,0.38337,0.32629,0.14864,0.0016172,0.0016172,0.0016172
31,257.298,2.33802,0.97659,0.79347,0.8851,0.7,0.74303,0.29745,0.39499,0.24642,0.14846,0.001604,0.001604,0.001604
32,265.47,2.27707,0.94464,0.7869,0.77934,0.78182,0.75568,0.32408,0.37476,0.20492,0.13891,0.0015908,0.0015908,0.0015908
33,273.681,2.35129,0.95496,0.78624,0.90565,0.69809,0.77743,0.31439,0.39151,0.47889,0.1425,0.0015776,0.0015776,0.0015776
34,282.058,2.23848,0.94903,0.78879,0.71166,0.71818,0.68016,0.27397,0.39246,2.17961,0.1475,0.0015644,0.0015644,0.0015644
35,290.229,2.31242,0.93925,0.78387,0.87564,0.7,0.77617,0.3391,0.38122,0.28591,0.14653,0.0015512,0.0015512,0.0015512
36,298.433,2.25172,0.92032,0.79176,0.69681,0.75455,0.71067,0.31814,0.37613,1.91478,0.14199,0.001538,0.001538,0.001538
37,306.597,2.28346,0.92095,0.78095,0.78008,0.70941,0.75487,0.31591,0.39136,1.05441,0.14028,0.0015248,0.0015248,0.0015248
38,314.842,2.25896,0.91333,0.78302,0.84556,0.78182,0.80006,0.32793,0.38137,0.40448,0.1425,0.0015116,0.0015116,0.0015116
39,322.995,2.25609,0.92989,0.77775,0.8193,0.70909,0.73613,0.32051,0.3716,0.9071,0.14115,0.0014984,0.0014984,0.0014984
40,331.188,2.25682,0.90606,0.77008,0.72513,0.74545,0.74717,0.30492,0.38686,2.14283,0.13857,0.0014852,0.0014852,0.0014852
41,339.356,2.24051,0.87298,0.78058,0.88552,0.78182,0.8513,0.37756,0.36816,0.38767,0.14052,0.001472,0.001472,0.001472
42,347.651,2.26144,0.899,0.77377,0.58634,0.78606,0.66732,0.29425,0.36362,2.38916,0.13851,0.0014588,0.0014588,0.0014588
43,355.815,2.18782,0.87768,0.77918,0.891,0.75455,0.80013,0.3551,0.36461,0.43159,0.14898,0.0014456,0.0014456,0.0014456
44,363.991,2.2199,0.8869,0.76711,0.83987,0.76364,0.80635,0.3562,0.36061,0.9239,0.14426,0.0014324,0.0014324,0.0014324
45,372.274,2.20121,0.87527,0.77897,0.69177,0.75493,0.72384,0.30789,0.36726,1.68588,0.1415,0.0014192,0.0014192,0.0014192
46,380.416,2.21603,0.86333,0.77721,0.87935,0.8,0.83727,0.36012,0.3627,0.62851,0.14452,0.001406,0.001406,0.001406
47,388.565,2.24358,0.86352,0.7688,0.78853,0.78182,0.77395,0.36026,0.37786,0.72656,0.14275,0.0013928,0.0013928,0.0013928
48,396.713,2.17314,0.85909,0.77639,0.91641,0.79091,0.86309,0.37267,0.36848,0.40367,0.14116,0.0013796,0.0013796,0.0013796
49,404.97,2.13021,0.85689,0.77299,0.8826,0.75179,0.83285,0.34891,0.37689,1.33225,0.14214,0.0013664,0.0013664,0.0013664
50,413.137,2.20213,0.83963,0.77085,0.57489,0.73636,0.56191,0.26516,0.35663,4.21005,0.14072,0.0013532,0.0013532,0.0013532
